industry,total_funding,country,region,city,funding_rounds,company_age
7595,-0.08650945338313407,122,788,3379,-0.5818800097797329,-0.6057251999109665
19559,0.04649903095484061,122,114,4088,1.4799497463704598,0.8498565480590868
7337,-0.07645897305534498,122,405,1694,0.10539657560366476,0.07354628247505839
23072,-0.08180497322970087,122,48,1049,-0.5818800097797329,0.8498565480590868
19864,-0.08714028140370805,122,24,2808,-0.5818800097797329,-0.6057251999109665
11209,-0.07645897305534498,122,664,889,-0.5818800097797329,-0.4116476335149594
16620,-0.08708414840187732,92,525,2126,-0.5818800097797329,-0.508686416712963
21795,-0.08589179790698968,39,537,2178,-0.5818800097797329,-0.4116476335149594
6246,-0.08554717335175,30,214,851,-0.5818800097797329,-0.4116476335149594
17424,-0.08688367339533898,122,631,2569,-0.5818800097797329,-0.70276398310897
16858,0.07322903182662009,122,788,2546,0.10539657560366476,0.17058506567306195
18075,-0.07378597296816702,122,39,1716,-0.5818800097797329,-0.6057251999109665
21450,-0.08180497322970087,122,956,3108,-0.5818800097797329,-0.508686416712963
17901,-0.08421067330816102,101,756,3802,-0.5818800097797329,-0.508686416712963
7337,-0.08656825938505197,122,788,536,-0.5818800097797329,-0.4116476335149594
1673,-0.04197727193074945,122,788,3379,0.10539657560366476,-0.508686416712963
23156,-0.08707078340144143,122,605,1104,-0.5818800097797329,-0.6057251999109665
21450,-0.07645897305534498,122,601,2405,-0.5818800097797329,-0.508686416712963
14629,-0.07645897305534498,122,539,3430,-0.5818800097797329,-0.6057251999109665
9303,-0.08085558775073735,38,650,2590,0.10539657560366476,-0.4116476335149594
22751,-0.07057837286355349,122,692,3818,0.10539657560366476,-0.31460885031695585
23289,-0.07492326500725897,122,809,606,-0.5818800097797329,1.238011680851101
10536,-0.08650945338313407,122,663,2655,-0.5818800097797329,-0.508686416712963
3845,-0.07645897305534498,35,573,2261,-0.5818800097797329,-0.12053128392094872
14958,-0.07645897305534498,83,506,1998,-0.5818800097797329,-0.4116476335149594
2189,-0.07999267917059423,122,788,3379,2.854502917137255,-0.31460885031695585
836,-0.07645897305534498,122,788,2546,-0.5818800097797329,-0.21757006711895227
12567,-0.0804684731861119,39,537,2178,0.10539657560366476,-0.508686416712963
14958,0.06895223168713538,122,788,2384,0.7926731609870624,-0.4116476335149594
2352,-0.033690971660497816,122,143,410,-0.5818800097797329,-0.31460885031695585
16808,-0.06042097253227729,122,712,389,-0.5818800097797329,2.0143219464351296
16808,-0.017652971137430126,122,583,2595,0.7926731609870624,-0.21757006711895227
23072,-0.07645897305534498,122,405,1694,-0.5818800097797329,0.7528177648610833
10888,-0.08709424699620667,122,788,3379,-0.5818800097797329,-0.4116476335149594
17871,-0.07645897305534498,39,537,2178,0.10539657560366476,-0.21757006711895227
14958,-0.08650945338313407,39,537,4239,-0.5818800097797329,-0.21757006711895227
23288,-0.08377054245980647,57,603,2431,-0.5818800097797329,-0.508686416712963
14958,-0.07645897305534498,122,53,179,-0.5818800097797329,-0.31460885031695585
2399,-0.08554717335175,122,655,2596,-0.5818800097797329,-0.508686416712963
15505,-0.08618869337267271,122,234,1299,-0.5818800097797329,-0.21757006711895227
12538,-0.08640253337964694,20,819,3435,-0.5818800097797329,-0.6057251999109665
23072,-0.06646216656930642,122,788,2656,0.10539657560366476,0.17058506567306195
23072,0.03803096667866088,122,114,187,9.72726877097123,0.2676238488710655
6989,-0.005624470745129363,122,788,3382,0.10539657560366476,-0.6057251999109665
7656,-0.07378597296816702,122,788,3379,-0.5818800097797329,-0.12053128392094872
22518,-0.08447797331687881,122,663,2655,-0.5818800097797329,-0.31460885031695585
6793,-0.08287417326457205,122,348,1058,-0.5818800097797329,-0.6057251999109665
12249,-0.08127037321226528,122,788,3379,-0.5818800097797329,-0.21757006711895227
9932,-0.0871108784027491,39,15,9,-0.5818800097797329,-0.70276398310897
21058,-0.07752817309021616,122,663,2655,-0.5818800097797329,-0.508686416712963
20052,-0.08314147327328984,122,757,3146,-0.5818800097797329,-0.6057251999109665
15037,0.049961645959771275,38,716,2589,0.7926731609870624,0.5587401984650762
14845,0.11733353326505622,122,788,2895,2.1672263317538576,-0.21757006711895227
